02-11 12:24:10.766 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:10.817 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:10.874 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:10.925 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:10.978 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.025 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.077 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.127 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.177 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.228 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.279 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.329 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:24:11.329 24127 24127 W SimplifiedCamera: MATCH DISCARDED: Found Sunrich Bottle BUT NO FACE DETECTED.
02-11 12:24:11.371 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.415 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.464 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.510 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.559 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.611 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.658 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.707 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.754 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.804 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.851 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.904 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.948 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:11.994 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.041 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.086 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.135 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.182 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.228 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.275 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.319 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.383 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.437 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.488 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.537 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.588 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.646 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.703 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:24:12.757 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
